WSL,Features,RF_accuracy,RF_precision,RF_recall,RF_f1,RF_specificity,KNC_accuracy,KNC_precision,KNC_recall,KNC_f1,KNC_specificity
Walking,1,0.9961818574475612,0.9966359672535203,0.9961754038905374,0.9964053493727534,0.9961892062875194,0.7389134494065506,0.7465409619901469,0.7699307616221562,0.7580416262915446,0.7037663889870698
Walking,2,0.9997197714365649,0.9997033401500441,0.9997692054071876,0.9997362401774321,0.9996637608862071,0.7528898911878776,0.7586618839336409,0.7843719090009891,0.771287961738002,0.7172158837419798
Walking,3,1.0,1.0,1.0,1.0,1.0,0.7549739726409801,0.7585629202010375,0.7902736564457633,0.7740840115248482,0.714973842950495
Walking,4,1.0,1.0,1.0,1.0,1.0,0.7358483777879828,0.7465669134003907,0.761127596439169,0.7537714341636799,0.7072028624506049
Walking,5,1.0,1.0,1.0,1.0,1.0,0.7408574687277499,0.7522397678775168,0.7637322782723376,0.7579337864565534,0.714936320189758
Walking,6,1.0,1.0,1.0,1.0,1.0,0.7419959697396098,0.753424808066196,0.764523574019123,0.7589292279031842,0.7164686670988486
Walking,7,1.0,1.0,1.0,1.0,1.0,0.7482660616061101,0.7634950716949455,0.762248598747115,0.7628630956371545,0.7324215777092467
Walking,8,1.0,1.0,1.0,1.0,1.0,0.7650447951570614,0.7777332338530933,0.7808770194526871,0.779295237830488,0.7471045494672269
Walking,9,1.0,1.0,1.0,1.0,1.0,0.7664285291390158,0.7791269070809457,0.781998021760633,0.780555308706655,0.7487859125485158
Walking,10,1.0,1.0,1.0,1.0,1.0,0.7671291312239654,0.7798354366334597,0.782558522914606,0.7811895734967994,0.7496450693026405
Walking,11,1.0,1.0,1.0,1.0,1.0,0.7669012702774585,0.7796143823197543,0.7823936696340258,0.7809920300742242,0.7493459900062147
Walking,12,1.0,1.0,1.0,1.0,1.0,0.7725759861146517,0.7888158686463077,0.7809759314210352,0.7848691622794541,0.7630574461182646
Walking,13,1.0,1.0,1.0,1.0,1.0,0.73879077156878,0.7452506302515862,0.7722716782063964,0.7585175063474423,0.7008515070246293
Walking,14,1.0,1.0,1.0,1.0,1.0,0.739999377269859,0.7476108843675502,0.7707879986811738,0.7590118432408949,0.7051110941737538
Walking,15,1.0,1.0,1.0,1.0,1.0,0.7424689685594902,0.7501815475962536,0.7724365314869768,0.7611427012010294,0.7085110639098604
Walking,16,1.0,1.0,1.0,1.0,1.0,0.7195600120128631,0.7268183474138323,0.7564127926145731,0.7413116779193613,0.6777998009953582
Walking,17,1.0,1.0,1.0,1.0,1.0,0.7133949038587488,0.7206525339761999,0.7519617540389054,0.7359591956681735,0.669693181634172
Walking,18,1.0,1.0,1.0,1.0,1.0,0.6906262333814644,0.6985937722668265,0.7345202769535114,0.7160984395120493,0.6408878739503259
Walking,19,1.0,1.0,1.0,1.0,1.0,0.6900658376073173,0.698203316140001,0.7336960105506101,0.7154994711146144,0.6406259125931857
